id;first_name;last_name;organisation;cell;city;email;registration_certificate;organisation_profile;management_structure;strategic_plan;resource_mobilisation_plan;comments;enquiries;lat;lng;created_date;modified_date
1;Vincenzo;Buckridge;system Folk Gallium;Rap;Adraintown;Faustino53@yahoo.com;false;true;true;true;true;ack Persevering 24/7;invoice Bronze;13217;13119;2023-08-16T18:12:59;2023-08-16T10:48:03
2;Brain;Tremblay;Bedfordshire abaft;brand male;Jerdeboro;Helen41@yahoo.com;true;false;false;true;false;Applications;array Malaysia Indium;16717;917;2023-08-16T12:52:41;2023-08-17T01:05:01
3;Archibald;Schmidt;virtual calculate;Coupe magnetic Ringgit;Juliannefurt;Christop_Williamson@yahoo.com;false;true;false;true;false;Celsius Transgender;South questionable overriding;117;26650;2023-08-16T05:09:02;2023-08-17T01:52:02
4;Elliot;Homenick;reprehenderit South North;Agender;Lake Uriahcester;Kyleigh_Schaefer54@yahoo.com;false;false;true;true;true;Market Sleek East;impactful Bespoke Reggae;15107;1076;2023-08-17T00:40:11;2023-08-16T10:14:08
5;Gus;O'Connell;Games;6th hefty;Fort Kareem;Roger_Schuster70@yahoo.com;false;true;true;true;false;orchid matrix;Chips North pascal;11976;24925;2023-08-16T13:49:04;2023-08-16T05:59:22
6;Sister;Stark;Granite unselfish;microchip Strategist Electronic;Spokane;Emilia_Harber@hotmail.com;true;true;true;true;false;bus;portals male;18623;7647;2023-08-16T09:35:31;2023-08-16T12:29:11
7;Alexys;Jacobson;program eyestrain;Jazz Sri Guinea;Lake Anselchester;Chadrick10@hotmail.com;true;false;false;false;false;euthanize underneath orchestrate;didactic;8661;3338;2023-08-16T21:00:09;2023-08-16T04:07:39
8;Marian;Vandervort;Southeast application Wagon;why;Canton;Celestino69@gmail.com;true;false;false;true;true;manhunt;Colorado Tools;15120;7708;2023-08-17T01:26:49;2023-08-16T19:31:39
9;Janet;Doyle;portals Sedan Crew;siemens Diesel;Fort Demariofurt;Aylin.Franecki70@yahoo.com;false;false;true;false;true;Shoes Botswana;Dollar Tellurium South;17090;26994;2023-08-16T18:26:25;2023-08-16T07:54:29
10;Reina;Doyle-Stoltenberg;bus;Bacon;Adamsview;Flossie_Stanton@yahoo.com;false;false;false;true;true;more Beauty;Vanuatu;16754;16049;2023-08-16T18:32:27;2023-08-16T09:51:24
